issue_category,source_family,length_bin,count
cleaned_blind_FN,external_attack_pool,100_199,1
cleaned_blind_FN,external_attack_pool,20_99,5
cleaned_blind_FN,external_attack_pool,300_399,1
cleaned_blind_FN,spml_papago_family,100_199,2
cleaned_blind_FN,spml_papago_family,20_99,2
cleaned_blind_FN,spml_papago_family,300_399,1
low_margin_attack,external_attack_pool,100_199,2
low_margin_attack,external_attack_pool,200_299,2
low_margin_attack,external_attack_pool,20_99,11
low_margin_attack,external_attack_pool,300_399,2
low_margin_attack,external_attack_pool,400_499,1
low_margin_attack,external_attack_pool,500_599,1
low_margin_attack,injection_guardrail_family,100_199,1
low_margin_attack,spml_papago_family,100_199,7
low_margin_attack,spml_papago_family,200_299,4
low_margin_attack,spml_papago_family,20_99,2
low_margin_attack,spml_papago_family,300_399,1
low_margin_attack,spml_papago_family,500_599,1
low_margin_normal,normal_instruction_source,100_199,1
low_margin_normal,normal_instruction_source,200_299,3
low_margin_normal,normal_instruction_source,20_99,3
low_margin_normal,normal_instruction_source,300_399,1
low_margin_normal,normal_instruction_source,400_499,4
low_margin_normal,normal_instruction_source,600_699,1
low_margin_normal,normal_realqa_source,100_199,3
low_margin_normal,normal_realqa_source,200_299,2
low_margin_normal,normal_realqa_source,20_99,13
low_margin_normal,normal_realqa_source,600_699,1
natural_boundary_FN,external_attack_pool,100_199,1
natural_boundary_FN,external_attack_pool,200_299,2
natural_boundary_FN,external_attack_pool,20_99,1
natural_boundary_FN,external_attack_pool,300_399,1
natural_boundary_FN,external_attack_pool,500_599,1
natural_boundary_FN,spml_papago_family,100_199,7
natural_boundary_FN,spml_papago_family,200_299,3
natural_boundary_FP,normal_realqa_source,20_99,1
