row_id,prompt,label_name,lr_pred,svm_pred,lr_proba,svm_score,margin_group,source_detail,source_family,style_family,attack_type,risk_subtype,is_hard_negative,length,length_bin,split,issue_category,issue_subtype,replace_priority,keep_or_replace,replacement_strategy,reason
,,risky_prompt,,,,,,,external_attack_pool,,,,,,,,source_family_high_purity,count=1892,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,injection_guardrail_family,,,,,,,,source_family_high_purity,count=1570,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,llm_generated_pool,,,,,,,,source_family_high_purity,count=21090,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,llm_generated_pool,,,,,,,,source_family_high_purity,count=20626,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,normal_evol_writing_source,,,,,,,,source_family_high_purity,count=680,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,normal_instruction_source,,,,,,,,source_family_high_purity,count=1521,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,normal_realqa_source,,,,,,,,source_family_high_purity,count=1709,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,spml_papago_family,,,,,,,,source_family_high_purity,count=912,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,,,,,,,100_199,,length_bin_high_purity,count=3839,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,,,,,,,100_199,,length_bin_high_purity,count=4496,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,,,,,,,200_299,,length_bin_high_purity,count=3426,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,,,,,,,200_299,,length_bin_high_purity,count=3765,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,,,,,,,20_99,,length_bin_high_purity,count=4315,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,,,,,,,20_99,,length_bin_high_purity,count=4070,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,,,,,,,300_399,,length_bin_high_purity,count=3295,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,,,,,,,300_399,,length_bin_high_purity,count=3372,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,,,,,,,400_499,,length_bin_high_purity,count=3361,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,,,,,,,400_499,,length_bin_high_purity,count=3131,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,,,,,,,500_599,,length_bin_high_purity,count=3443,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,,,,,,,500_599,,length_bin_high_purity,count=3106,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,,,,,,,600_699,,length_bin_high_purity,count=3321,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,risky_prompt,,,,,,,,,,,,,600_699,,length_bin_high_purity,count=3060,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
,,normal,,,,,,,,business_task,,,,,,,style_family_high_purity,count=4641,P1,REVIEW,llm_v7_counterpair,residual shortcut distribution audit
