gate,target,actual,status
total_rows,50000,50000,PASS
balance,25k/25k,25000/25000,PASS
raw_duplicate,0,0,PASS
cross_label_duplicate,0,0,PASS
true_leakage,0,0,PASS
severe_artifact_rows,0,0,PASS
numeric_prefix_rows_after,0,0,PASS
target_hardening_weak_missing,0,0,PASS
LR_F1,>=0.995,0.9977,PASS
SVM_F1,>=0.995,0.9984,PASS
natural_boundary_FP,<=1,16,FAIL
combined_AUC,<=0.66,0.5199,PASS
source_family_AUC,<=0.62,0.5027,PASS
length_bin_AUC,<=0.53,0.5001,PASS
clean_unseen_attack_recall,>=0.95,1.0,PASS
clean_unseen_normal_recall,>=0.95,0.998,PASS
