gate,target,actual,status
total_rows,50000,50000,PASS
balance,25k/25k,25000/25000,PASS
raw_duplicate,0,0,PASS
cross_label_duplicate,0,0,PASS
true_leakage,0,0,PASS
severe_artifact_rows,0,0,PASS
LR_F1,>=0.995,1.0,PASS
SVM_F1,>=0.995,0.9999,PASS
IG,>=0.95,1.0,PASS
Papago,>=0.96,1.0,PASS
cleaned_blind_FN,<=1,0,PASS
natural_boundary_FN,<=1,0,PASS
natural_boundary_FP,<=1,0,PASS
combined_AUC,<=0.66,0.6545,PASS
source_family_AUC,<=0.62,0.6116,PASS
length_bin_AUC,<=0.53,0.5224,PASS
target_hardening_weak_missing,<=6,0,PASS
clean_unseen_attack_recall,>=0.95,1.0,PASS
clean_unseen_normal_recall,>=0.95,1.0,PASS
clean_unseen_accuracy,>=0.95,1.0,PASS
