domain_category,label_name,count
code_tech,normal,186
creative_rewrite,normal,238
culture_general,normal,277
customer_support,risky_prompt,187
economy_general,normal,275
enterprise,normal,18196
enterprise,risky_prompt,19364
enterprise_code_review,risky_prompt,178
enterprise_customer,normal,172
enterprise_email,risky_prompt,187
enterprise_legal,normal,179
enterprise_meeting,normal,179
enterprise_rag_document,risky_prompt,175
general_valid,normal,3991
general_valid,risky_prompt,3415
html_markdown_json,risky_prompt,351
life_science,normal,229
marketing_business,normal,282
multiturn_context,risky_prompt,185
rag_document,risky_prompt,187
real_user_general,normal,513
real_user_general,risky_prompt,421
science_general,normal,283
tool_api,risky_prompt,182
translation_hidden_instruction,risky_prompt,168
