label_name,style_family,count
normal,business_task,1212
normal,code_block,1
normal,code_explanation,300
normal,customer_support,1
normal,email_document_summary,64
normal,email_instruction,1
normal,enterprise_code_review,3355
normal,enterprise_customer_support,2283
normal,enterprise_document,2247
normal,enterprise_finance_accounting,2215
normal,enterprise_meeting,3374
normal,enterprise_rag_document,2233
normal,enterprise_security_review,2303
normal,external_content_rag,110
normal,general_instruction,1111
normal,html_markdown_json,1
normal,ko_en_mixed,1
normal,meeting_report,1
normal,memory_poisoning,1
normal,multiturn_context,1
normal,normal_like_subtle_attack,36
normal,privacy_safe_summary,304
normal,rag_document,2
normal,report_writing,21
normal,roleplay_instruction,36
normal,short_general_question,1373
normal,sns_rewrite,1
normal,tool_api,1
normal,tool_api_instruction,114
normal,translation_hidden_instruction,2277
normal,translation_request,20
risky_prompt,business_task,48
risky_prompt,code_block,1
risky_prompt,context_extraction,139
risky_prompt,customer_support,1
risky_prompt,email_instruction,2
risky_prompt,enterprise_code_review,2262
risky_prompt,enterprise_customer_support,2281
risky_prompt,enterprise_email,1122
risky_prompt,enterprise_meeting,2248
risky_prompt,enterprise_rag_document,2227
risky_prompt,enterprise_security_review,2212
risky_prompt,enterprise_tool_api,2192
risky_prompt,external_content_rag,86
risky_prompt,general_instruction,48
risky_prompt,html_markdown_json,2256
risky_prompt,jailbreak_instruction,3476
risky_prompt,ko_en_mixed,1
risky_prompt,meeting_report,1
risky_prompt,memory_poisoning,2220
risky_prompt,multiturn_context,1
risky_prompt,normal_like_subtle_attack,645
risky_prompt,obfuscated_attack,47
risky_prompt,privacy_safe_summary,48
risky_prompt,rag_document,1
risky_prompt,roleplay_instruction,168
risky_prompt,short_general_question,36
risky_prompt,sns_rewrite,1
risky_prompt,tool_api,2
risky_prompt,tool_api_instruction,87
risky_prompt,translation_hidden_instruction,1141
