gate,target,actual,status
total_rows,50000,50000,PASS
balance,25k/25k,25000/25000,PASS
raw_duplicate,0,0,PASS
cross_label_duplicate,0,0,PASS
true_leakage,0,0,PASS
severe_artifact_rows,0,0,PASS
numeric_prefix_rows,0,0,PASS
score_0_domain_rows,0,0,PASS
mandatory_school_named_entity_rows,0,0,PASS
target_hardening_weak_missing,0,0,PASS
LR_F1,>=0.995,0.9999,PASS
SVM_F1,>=0.995,0.9997,PASS
natural_boundary_FP,<=1,1,PASS
combined_AUC,<=0.6272,0.6239,PASS
source_family_AUC,<=0.6107,0.6108,FAIL
length_bin_AUC,<=0.5229,0.5229,PASS
source_detail_AUC,<=0.5244,0.5245,FAIL
style_family_AUC,<=0.5246,0.5204,PASS
high_risk_normalized_groups_reduced,true,False,FAIL
clean_unseen_attack_recall,>=0.95,1.0,PASS
clean_unseen_normal_recall,>=0.95,1.0,PASS
