style_family,label_name,count
business_task,normal,4510
business_task,risky_prompt,48
code_block,normal,1
code_block,risky_prompt,1
code_explanation,normal,293
context_extraction,risky_prompt,139
customer_support,normal,1
customer_support,risky_prompt,218
email_document_summary,normal,62
email_instruction,normal,1
email_instruction,risky_prompt,2
enterprise_code_review,normal,14
enterprise_code_review,risky_prompt,1
enterprise_document,risky_prompt,630
enterprise_email,normal,7
enterprise_finance_accounting,normal,7
enterprise_meeting,normal,11
enterprise_rag_document,normal,11
enterprise_rag_document,risky_prompt,2
external_content_rag,normal,3026
external_content_rag,risky_prompt,3022
general_instruction,normal,4055
general_instruction,risky_prompt,48
html_markdown_json,normal,1
html_markdown_json,risky_prompt,414
jailbreak_instruction,risky_prompt,6653
ko_en_mixed,normal,1
ko_en_mixed,risky_prompt,1
meeting_report,normal,1
meeting_report,risky_prompt,1
memory_poisoning,normal,1
memory_poisoning,risky_prompt,1
multiturn_context,normal,1
multiturn_context,risky_prompt,216
normal_like_subtle_attack,normal,36
normal_like_subtle_attack,risky_prompt,3891
obfuscated_attack,risky_prompt,3053
privacy_safe_summary,normal,3288
privacy_safe_summary,risky_prompt,48
rag_document,normal,2
rag_document,risky_prompt,218
report_writing,normal,21
roleplay_instruction,normal,36
roleplay_instruction,risky_prompt,2998
short_general_question,normal,6492
short_general_question,risky_prompt,36
sns_rewrite,normal,1
sns_rewrite,risky_prompt,1
tool_api,normal,1
tool_api,risky_prompt,214
tool_api_instruction,normal,3098
tool_api_instruction,risky_prompt,2945
translation_hidden_instruction,normal,1
translation_hidden_instruction,risky_prompt,199
translation_request,normal,20
