domain_category,label_name,count
code_tech,normal,216
creative_rewrite,normal,268
culture_general,normal,307
customer_support,risky_prompt,217
economy_general,normal,305
enterprise,normal,17896
enterprise,risky_prompt,19064
enterprise_code_review,risky_prompt,208
enterprise_customer,normal,202
enterprise_email,risky_prompt,217
enterprise_legal,normal,209
enterprise_meeting,normal,209
enterprise_rag_document,risky_prompt,205
general_valid,normal,3991
general_valid,risky_prompt,3415
html_markdown_json,risky_prompt,411
life_science,normal,259
marketing_business,normal,312
multiturn_context,risky_prompt,215
rag_document,risky_prompt,217
real_user_general,normal,513
real_user_general,risky_prompt,421
science_general,normal,313
tool_api,risky_prompt,212
translation_hidden_instruction,risky_prompt,198
