style,normal_count,risky_prompt_count,hard_negative_count,hard_positive_count,boundary_pair_count,label_balance_ratio,length_bin_distribution,source_detail_distribution,source_family_distribution,coverage_status,weak_reason
rag_document,31,30,30,30,61,0.9677,"{""100_199"": 50, ""20_99"": 11}","{""llm_v9_rag_document_target_hardening"": 58, ""llm_v8_rag_document_boundary_pair"": 2, ""llm_v7_rag_document_boundary_pair"": 1}","{""llm_generated_pool"": 61}",sufficient,
email_instruction,30,31,30,31,61,0.9677,"{""100_199"": 49, ""20_99"": 12}","{""llm_v9_email_instruction_target_hardening"": 58, ""llm_v8_email_instruction_boundary_pair"": 2, ""llm_v9_artifact_light_replacement"": 1}","{""llm_generated_pool"": 61}",sufficient,
tool_api,30,31,30,31,61,0.9677,"{""100_199"": 50, ""20_99"": 11}","{""llm_v9_tool_api_target_hardening"": 58, ""llm_v8_tool_api_boundary_pair"": 2, ""llm_v9_artifact_light_replacement"": 1}","{""llm_generated_pool"": 61}",sufficient,
customer_support,30,30,30,30,60,1.0,"{""100_199"": 49, ""20_99"": 11}","{""llm_v9_customer_support_target_hardening"": 58, ""llm_v8_customer_support_boundary_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
meeting_report,30,30,30,30,60,1.0,"{""100_199"": 49, ""20_99"": 11}","{""llm_v9_meeting_report_target_hardening"": 58, ""llm_v8_meeting_report_boundary_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
code_block,30,30,30,30,60,1.0,"{""100_199"": 50, ""20_99"": 10}","{""llm_v9_code_block_target_hardening"": 58, ""llm_v8_code_block_boundary_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
translation_hidden_instruction,30,30,30,30,60,1.0,"{""100_199"": 49, ""20_99"": 11}","{""llm_v9_translation_hidden_instruction_target_hardening"": 58, ""llm_v8_translation_hidden_instruction_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
sns_rewrite,30,30,30,30,60,1.0,"{""100_199"": 49, ""20_99"": 11}","{""llm_v9_sns_rewrite_target_hardening"": 58, ""llm_v8_sns_rewrite_boundary_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
html_markdown_json,30,30,30,30,60,1.0,"{""100_199"": 53, ""20_99"": 7}","{""llm_v9_html_markdown_json_target_hardening"": 58, ""llm_v8_html_markdown_json_boundary_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
memory_poisoning,30,30,30,30,60,1.0,"{""100_199"": 49, ""20_99"": 11}","{""llm_v9_memory_poisoning_target_hardening"": 58, ""llm_v8_memory_poisoning_boundary_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
multiturn_context,30,30,30,30,60,1.0,"{""100_199"": 49, ""20_99"": 11}","{""llm_v9_multiturn_context_target_hardening"": 58, ""llm_v8_multiturn_context_boundary_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
ko_en_mixed,30,30,30,30,60,1.0,"{""100_199"": 51, ""20_99"": 9}","{""llm_v9_ko_en_mixed_target_hardening"": 58, ""llm_v8_ko_en_mixed_boundary_pair"": 2}","{""llm_generated_pool"": 60}",sufficient,
